Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
"Urbanizaci칩n De Lomas De Mijas, 11 Climb",26780593,36.567547,-4.623328,36.592447,-4.626588
"Carretera De Mijas A Benalm치dena, 19 Climb",26780593,36.592828,-4.6271,36.59589,-4.630408
Carretera De La Variante Climb,26780593,36.597033,-4.638752,36.59901,-4.639523
Carretera De La Variante Climb,26780593,36.598718,-4.638042,36.602885,-4.64348
"Urbanizaci칩n De Lomas De Mijas, 11 Climb",26780593,36.567547,-4.623328,36.592447,-4.626588
"Calle Gauberto Fabricio De Vagad, 5 13 Climb",25686518,36.715233,-4.345275,36.717873,-4.34004
"Carretera De Mijas A Benalm치dena, 19 Climb",26780593,36.592828,-4.6271,36.59589,-4.630408
Carretera De La Variante Climb,26780593,36.597033,-4.638752,36.59901,-4.639523
Carretera De La Variante Climb,26780593,36.598718,-4.638042,36.602885,-4.64348
C-345 Climb,88217977,36.803132,-4.37926,36.813005,-4.37241
C-345 Climb,88217977,36.811435,-4.37154,36.812212,-4.36879
